Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes,Dates
12/01/2022,"Subway 335, Sarasota, FL","Subway 335, Sarasota, FL",2.2,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-01T00:00:00
12/01/2022,Received RTP ID 2022120102100002,Received RTP ID 2022120102100002,39.3,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-01T00:00:00
12/01/2022,NON-5/3 CASH WITHDRAWAL FEE,NON-5/3 CASH WITHDRAWAL FEE,3,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-12-01T00:00:00
11/29/2022,Received RTP ID 2022112902100002,Received RTP ID 2022112902100002,98.25,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-29T00:00:00
11/29/2022,- 088504 SUNOCO 80009800 SARASOT,- 088504 SUNOCO 80009800 SARASOT,45,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-29T00:00:00
11/28/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,0.99,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-28T00:00:00
11/25/2022,"DG HARDWARE, SARASOTA, FL","DG HARDWARE, SARASOTA, FL",0.91,debit,Home,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-25T00:00:00
11/23/2022,"SONIC DRIVE IN #64, BRADENTON, F","SONIC DRIVE IN #64, BRADENTON, F",10.99,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-23T00:00:00
11/23/2022,"7-ELEVEN 40347, SARASOTA, FL","7-ELEVEN 40347, SARASOTA, FL",9.18,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-23T00:00:00
11/22/2022,"FRUITVILLE VAP & S, SARASOTA, FL","FRUITVILLE VAP & S, SARASOTA, FL",51.36,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-22T00:00:00
11/22/2022,"AMZN Mktp US*HI2OW, Amzn.com/bil","AMZN Mktp US*HI2OW, Amzn.com/bil",27.81,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-22T00:00:00
11/22/2022,"AMZN Mktp US*HI93N, Amzn.com/bil","AMZN Mktp US*HI93N, Amzn.com/bil",5.28,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-22T00:00:00
11/22/2022,"AMZN Mktp US*HW222, Amzn.com/bil","AMZN Mktp US*HW222, Amzn.com/bil",44.04,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-22T00:00:00
11/21/2022,ATM Fee,ATM WITHDRAWAL POSTED,3,debit,ATM Fee,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-21T00:00:00
11/21/2022,ATM WITHDRAWAL POSTED,ATM WITHDRAWAL POSTED,40,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-21T00:00:00
11/21/2022,"SUPER 8, RINGGOLD, GA","SUPER 8, RINGGOLD, GA",95.85,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-21T00:00:00
11/21/2022,Received RTP ID 2022111902100002,Received RTP ID 2022111902100002,196.5,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-21T00:00:00
11/21/2022,NON-5/3 CASH WITHDRAWAL FEE,NON-5/3 CASH WITHDRAWAL FEE,3,debit,Cash & ATM,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-21T00:00:00
11/18/2022,"WAFFLE HOUSE 0130, CORDELE, GA","WAFFLE HOUSE 0130, CORDELE, GA",32,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-18T00:00:00
11/18/2022,"DD DOORDASH MCDONA, 8559731040,","DD DOORDASH MCDONA, 8559731040,",47.08,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-18T00:00:00
11/18/2022,RECURRING PURCHASE AT BVD*BEENVE,RECURRING PURCHASE AT BVD*BEENVE,26.89,debit,Music,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-18T00:00:00
11/17/2022,EARLY PAY: RED ROBIN INTERN 0000,EARLY PAY: RED ROBIN INTERN 0000,50.14,credit,Paycheck,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-17T00:00:00
11/17/2022,Received RTP ID 2022111602100002,Received RTP ID 2022111602100002,196.5,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-17T00:00:00
11/17/2022,7-ELEVEN - N2UQ01 6385 La Rose R,7-ELEVEN - N2UQ01 6385 La Rose R,46.05,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-17T00:00:00
11/14/2022,TWITCH TV - 001000 JTI*TWITCHTV,TWITCH TV - 001000 JTI*TWITCHTV,4.99,debit,Entertainment,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-14T00:00:00
11/07/2022,"RECURRING PURCHASE AT SPOTIFY, 8","RECURRING PURCHASE AT SPOTIFY, 8",10.77,debit,Music,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-07T00:00:00
11/07/2022,"RED ROBIN NO 600, CINCINNATI, OH","RED ROBIN NO 600, CINCINNATI, OH",9.58,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-07T00:00:00
11/07/2022,"BUCKS STORE 09, CINCINNATI, OH","BUCKS STORE 09, CINCINNATI, OH",7.3,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-07T00:00:00
11/07/2022,"SQ *ALL HALLOWS EV, Williamsburg","SQ *ALL HALLOWS EV, Williamsburg",8.72,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-07T00:00:00
11/04/2022,CRUNCH CLUB FEES 2230700255243,CRUNCH CLUB FEES 2230700255243,26.74,debit,Gym,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-04T00:00:00
11/03/2022,EARLY PAY: RED ROBIN INTERN 0000,EARLY PAY: RED ROBIN INTERN 0000,64.72,credit,Paycheck,FIFTH THIRD MOMENTUM CHECKING,,,2022-11-03T00:00:00
10/28/2022,"PAYPAL *192 COM LT, 35314369001,","PAYPAL *192 COM LT, 35314369001,",23.17,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-28T00:00:00
10/28/2022,INTERNATIONAL TRANS FEE,INTERNATIONAL TRANS FEE,0.7,debit,Service Fee,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-28T00:00:00
10/28/2022,"PAYPAL *192 COM LT, 35314369001,","PAYPAL *192 COM LT, 35314369001,",23.27,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-28T00:00:00
10/28/2022,INTERNATIONAL TRANS FEE,INTERNATIONAL TRANS FEE,0.7,debit,Service Fee,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-28T00:00:00
10/27/2022,- 534901 SUNOCO 01984681 BLUE AS,- 534901 SUNOCO 01984681 BLUE AS,26.94,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-27T00:00:00
10/26/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,0.99,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-26T00:00:00
10/25/2022,"DD DOORDASH ELJINE, 8559731040,","DD DOORDASH ELJINE, 8559731040,",52.25,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-25T00:00:00
10/25/2022,"DD DOORDASH RHINOS, 8559731040,","DD DOORDASH RHINOS, 8559731040,",14.19,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-25T00:00:00
10/24/2022,"DD DOORDASH KYOTOJ, 8559731040,","DD DOORDASH KYOTOJ, 8559731040,",34.57,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-24T00:00:00
10/24/2022,- 506101 UNITED DAIRY FA CINCINN,- 506101 UNITED DAIRY FA CINCINN,22.39,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-24T00:00:00
10/24/2022,Received RTP ID 2022102302100002,Received RTP ID 2022102302100002,147.38,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-24T00:00:00
10/24/2022,"DD DOORDASH DRAGON, 8559731040,","DD DOORDASH DRAGON, 8559731040,",22.47,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-24T00:00:00
10/24/2022,- 078301 BP#95309167799 CINCINNA,- 078301 BP#95309167799 CINCINNA,27.59,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-24T00:00:00
10/21/2022,"HOLLYWOOD FEED 409, CINCINNATI,","HOLLYWOOD FEED 409, CINCINNATI,",36.98,debit,Pet Food & Supplies,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-21T00:00:00
10/21/2022,- 078701 BP#9531872PFEIF CINCINN,- 078701 BP#9531872PFEIF CINCINN,14.84,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-21T00:00:00
10/20/2022,EARLY PAY: RED ROBIN INTERN 0000,EARLY PAY: RED ROBIN INTERN 0000,157.48,credit,Paycheck,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-20T00:00:00
10/17/2022,"SHELL OIL 57443023, WEST CHESTER","SHELL OIL 57443023, WEST CHESTER",20.02,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-17T00:00:00
10/13/2022,RECURRING PURCHASE AT BVD*BEENVE,RECURRING PURCHASE AT BVD*BEENVE,26.89,debit,Music,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-13T00:00:00
10/13/2022,TWITCH TV - 001000 JTI*TWITCHTV,TWITCH TV - 001000 JTI*TWITCHTV,4.99,debit,Entertainment,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-13T00:00:00
10/13/2022,"BUCKS STORE 09, CINCINNATI, OH","BUCKS STORE 09, CINCINNATI, OH",5.25,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-13T00:00:00
10/12/2022,"Uzbegim (Register, Cincinnati, O","Uzbegim (Register, Cincinnati, O",8.35,debit,Entertainment,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-12T00:00:00
10/12/2022,"BUCKS STORE 09, WESTCHESTER, OH","BUCKS STORE 09, WESTCHESTER, OH",13.95,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-12T00:00:00
10/11/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,38.78,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-11T00:00:00
10/11/2022,- 553101 UNITED DAIRY FA CINCINN,- 553101 UNITED DAIRY FA CINCINN,11.89,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-11T00:00:00
10/07/2022,"DD DOORDASH NOODLE, 8559731040,","DD DOORDASH NOODLE, 8559731040,",31.85,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-07T00:00:00
10/07/2022,"TACO BELL 31683, MILFORD, OH","TACO BELL 31683, MILFORD, OH",16.78,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-07T00:00:00
10/06/2022,"LEHRS PRIME MARKET, MILFORD, OH","LEHRS PRIME MARKET, MILFORD, OH",33.14,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-06T00:00:00
10/06/2022,"Spotify USA, New York, NY","Spotify USA, New York, NY",10.77,debit,Music,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-06T00:00:00
10/06/2022,"UNITED DAIRY FARME, MILFORD, OH","UNITED DAIRY FARME, MILFORD, OH",10.11,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-06T00:00:00
10/06/2022,EARLY PAY: Total Qualit-OSV EDIP,EARLY PAY: Total Qualit-OSV EDIP,51.83,credit,Paycheck,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-06T00:00:00
10/06/2022,"VIP WIRELESS & SMO, MILFORD, OH","VIP WIRELESS & SMO, MILFORD, OH",40,debit,Shopping,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-06T00:00:00
10/05/2022,Received RTP ID 2022100502100002,Received RTP ID 2022100502100002,245.63,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-05T00:00:00
10/05/2022,- 725401 UNITED DAIRY FA SPRINGB,- 725401 UNITED DAIRY FA SPRINGB,41.33,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-05T00:00:00
10/05/2022,INTERBANK TRANSFER TO SV3:XXXXXX,INTERBANK TRANSFER TO SV3:XXXXXX,9.75,credit,Transfer,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-05T00:00:00
10/04/2022,"MCDONALD'S F236, CINCINNATI, OH","MCDONALD'S F236, CINCINNATI, OH",7.58,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-04T00:00:00
10/04/2022,Received RTP ID 2022100402100002,Received RTP ID 2022100402100002,29.48,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-04T00:00:00
10/04/2022,CRUNCH CLUB FEES 2227600131045,CRUNCH CLUB FEES 2227600131045,26.74,debit,Gym,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-04T00:00:00
10/04/2022,- 553101 UNITED DAIRY FA CINCINN,- 553101 UNITED DAIRY FA CINCINN,1.29,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-04T00:00:00
10/04/2022,"TACO BELL #037003, MILFORD, OH","TACO BELL #037003, MILFORD, OH",20.41,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-04T00:00:00
10/03/2022,"PANERA BREAD #2049, CINCINNATI,","PANERA BREAD #2049, CINCINNATI,",4.39,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-03T00:00:00
10/03/2022,"DD DOORDASH ICHIBA, 8559731040,","DD DOORDASH ICHIBA, 8559731040,",36.08,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-03T00:00:00
10/03/2022,"MAGIC WOK RESTAURA, CINCINNATI,","MAGIC WOK RESTAURA, CINCINNATI,",17.57,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-03T00:00:00
10/03/2022,"CHICK-FIL-A #03817, MILFORD, OH","CHICK-FIL-A #03817, MILFORD, OH",11.79,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-10-03T00:00:00
9/30/2022,"BUCKS STORE 55, MILFORD, OH","BUCKS STORE 55, MILFORD, OH",5.25,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-30T00:00:00
9/30/2022,Speedway - 103301 200 S Main St,Speedway - 103301 200 S Main St,60.43,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-30T00:00:00
9/30/2022,INTERBANK TRANSFER TO SV1:XXXXXX,INTERBANK TRANSFER TO SV1:XXXXXX,39.3,credit,Transfer,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-30T00:00:00
9/29/2022,Square Inc * Cash App T200517437,Square Inc * Cash App T200517437,102,credit,Income,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-29T00:00:00
9/29/2022,"RAISING CANES 758, CINCINNATI, O","RAISING CANES 758, CINCINNATI, O",11.06,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-29T00:00:00
9/28/2022,"SQ *ROHS STREET CA, Cincinnati,","SQ *ROHS STREET CA, Cincinnati,",9.62,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-28T00:00:00
9/28/2022,"USQUARE W GAR PARK, CINCINNATI,","USQUARE W GAR PARK, CINCINNATI,",1,debit,Parking,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-28T00:00:00
9/28/2022,- 506301 UNITED DAIRY FA MILFORD,- 506301 UNITED DAIRY FA MILFORD,14.75,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-28T00:00:00
9/28/2022,CRUNCH CLUB FEES 2227000247278,CRUNCH CLUB FEES 2227000247278,53.49,debit,Gym,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-28T00:00:00
9/28/2022,"BANA MARKET, CINCINNATI, OH","BANA MARKET, CINCINNATI, OH",9.96,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-28T00:00:00
9/27/2022,Springboro Mayors,"SPRINGBORO MAYORS, 937-7489782,",275,debit,Uncategorized,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-27T00:00:00
9/27/2022,"BUCKS STORE 55, MILFORD, OH","BUCKS STORE 55, MILFORD, OH",10.9,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-27T00:00:00
9/26/2022,"TST* TASTE OF BELG, CINCINNATI,","TST* TASTE OF BELG, CINCINNATI,",27.37,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,19.39,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,"DD DOORDASH CHINAH, 8559731040,","DD DOORDASH CHINAH, 8559731040,",31.37,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,"TST* By Gollys, Milford, OH","TST* By Gollys, Milford, OH",52,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,- 506301 UNITED DAIRY FA MILFORD,- 506301 UNITED DAIRY FA MILFORD,29.55,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,0.99,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,- 506301 UNITED DAIRY FA MILFORD,- 506301 UNITED DAIRY FA MILFORD,32.34,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
9/26/2022,"BUCKS STORE 55, MILFORD, OH","BUCKS STORE 55, MILFORD, OH",6.45,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-26T00:00:00
